academic_year,major_id,major,owning_academic_unit_id,owning_academic_unit_name,department_aggregation_eligible,estimation_status,estimated_graduates,capstone_section_count,capstone_enrollment_observed,estimation_course_ids,estimation_method,confidence,limitations
2020-21,undergraduate_major:german,German,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:global_commerce_culture,Global Commerce and Culture,academic_unit:office_provost,Office of the Provost,False,not_observed,,0,,"[""IDST 480""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:health_studies,Health Studies,,,False,not_observed,,0,,"[""HEAL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:history,History,academic_unit:department_history,Department of History,True,estimated,52,5,52,"[""HIST 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:integrative_biology,Integrative Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2020-21,undergraduate_major:interdisciplinary_studies,Interdisciplinary Studies,academic_unit:office_provost,Office of the Provost,False,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:international_affairs,International Affairs,academic_unit:department_political_science,Department of Political Science,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:kinesiology,Kinesiology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2020-21,undergraduate_major:leadership_studies,Leadership Studies,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2020-21,undergraduate_major:management,Management,academic_unit:department_management_marketing,Department of Management and Marketing,True,estimated,60,3,60,"[""MGMT 491""]",unique_major_specific_required_capstone,medium,"[""Uses the one required capstone unique to this major and does not add the shared degree capstone.""]"
2020-21,undergraduate_major:marketing,Marketing,academic_unit:department_management_marketing,Department of Management and Marketing,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:mathematics,Mathematics,academic_unit:department_mathematics,Department of Mathematics,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:music,Music,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,excluded_unresolved_pathway,,0,,[],excluded,unavailable,"[""At least one governed pathway lacks an estimable capstone.""]"
2020-21,undergraduate_major:neuroscience,Neuroscience,,,False,estimated,43,3,43,"[""NEUR 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:organismal_environmental_biology,Organismal and Environmental Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2020-21,undergraduate_major:philosophy,Philosophy,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,True,estimated,16,2,16,"[""PHIL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:political_science,Political Science,academic_unit:department_political_science,Department of Political Science,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:psychology,Psychology,academic_unit:department_psychology,Department of Psychology,True,estimated,150,9,150,"[""PSYC 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:social_work,Social Work,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,estimated,22,1,22,"[""SOWK 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:sociology,Sociology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:spanish,Spanish,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2020-21,undergraduate_major:studio_art,Studio Art,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,estimated,13,1,13,"[""FNAR 488""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2020-21,undergraduate_major:theater,Theater,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,estimated,25,2,25,"[""THEA 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,program.computer_engineering,Computer Engineering,academic_unit:sec,School of Engineering and Computing,True,estimated,16,2,16,"[""CPEN 498""]",terminal_course_in_required_sequence,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,program.computer_science,Computer Science,academic_unit:sec,School of Engineering and Computing,True,estimated,47,4,47,"[""CPSC 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,program.cybersecurity,Cybersecurity,academic_unit:sec,School of Engineering and Computing,True,estimated,4,3,4,"[""CYBR 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,program.electrical_engineering,Electrical Engineering,academic_unit:sec,School of Engineering and Computing,True,estimated,20,2,20,"[""EENG 498""]",terminal_course_in_required_sequence,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,program.information_science,Information Science,academic_unit:sec,School of Engineering and Computing,True,estimated,24,3,24,"[""CPSC 445""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,program.physics,Physics,academic_unit:sec,School of Engineering and Computing,True,estimated,21,2,21,"[""PHYS 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:accounting,Accounting,academic_unit:department_accounting_finance,Department of Accounting and Finance,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:american_studies,American Studies,academic_unit:office_provost,Office of the Provost,False,estimated,26,2,26,"[""AMST 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:anthropology,Anthropology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:art_history,Art History,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,True,estimated,4,1,4,"[""FNAR 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:biochemistry,Biochemistry,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2021-22,undergraduate_major:biology,Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2021-22,undergraduate_major:cellular_molecular_physiological_biology,"Cellular, Molecular and Physiological Biology",academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2021-22,undergraduate_major:chemistry,Chemistry,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,estimated,10,1,10,"[""CHEM 492""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:classical_studies,Classical Studies,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2021-22,undergraduate_major:communication,Communication,academic_unit:department_communication_studies,Department of Communication Studies,True,estimated,95,6,95,"[""COMM 452""]",required_capstone_enrollment,medium,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:computational_applied_mathematics,Computational and Applied Mathematics,academic_unit:department_mathematics,Department of Mathematics,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:criminology,Criminology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:economics,Economics,academic_unit:department_economics,Department of Economics,True,estimated,33,3,33,"[""ECON 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:english,English,academic_unit:department_english,Department of English,True,estimated,35,4,35,"[""ENGL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:environmental_studies,Environmental Studies,academic_unit:office_provost,Office of the Provost,False,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:finance,Finance,academic_unit:department_accounting_finance,Department of Accounting and Finance,True,estimated,61,3,61,"[""FINC 428""]",unique_major_specific_required_capstone,medium,"[""Uses the one required capstone unique to this major and does not add the shared degree capstone.""]"
2021-22,undergraduate_major:french,French,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:german,German,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:global_commerce_culture,Global Commerce and Culture,academic_unit:office_provost,Office of the Provost,False,not_observed,,0,,"[""IDST 480""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:health_studies,Health Studies,,,False,not_observed,,0,,"[""HEAL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:history,History,academic_unit:department_history,Department of History,True,estimated,49,4,49,"[""HIST 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:integrative_biology,Integrative Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2021-22,undergraduate_major:interdisciplinary_studies,Interdisciplinary Studies,academic_unit:office_provost,Office of the Provost,False,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:international_affairs,International Affairs,academic_unit:department_political_science,Department of Political Science,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:kinesiology,Kinesiology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2021-22,undergraduate_major:leadership_studies,Leadership Studies,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2021-22,undergraduate_major:management,Management,academic_unit:department_management_marketing,Department of Management and Marketing,True,estimated,66,4,66,"[""MGMT 491""]",unique_major_specific_required_capstone,medium,"[""Uses the one required capstone unique to this major and does not add the shared degree capstone.""]"
2021-22,undergraduate_major:marketing,Marketing,academic_unit:department_management_marketing,Department of Management and Marketing,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:mathematics,Mathematics,academic_unit:department_mathematics,Department of Mathematics,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:music,Music,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,excluded_unresolved_pathway,,0,,[],excluded,unavailable,"[""At least one governed pathway lacks an estimable capstone.""]"
2021-22,undergraduate_major:neuroscience,Neuroscience,,,False,estimated,40,3,40,"[""NEUR 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:organismal_environmental_biology,Organismal and Environmental Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2021-22,undergraduate_major:philosophy,Philosophy,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,True,estimated,11,2,11,"[""PHIL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:political_science,Political Science,academic_unit:department_political_science,Department of Political Science,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:psychology,Psychology,academic_unit:department_psychology,Department of Psychology,True,estimated,147,10,147,"[""PSYC 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:social_work,Social Work,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,estimated,22,1,22,"[""SOWK 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:sociology,Sociology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:spanish,Spanish,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2021-22,undergraduate_major:studio_art,Studio Art,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,estimated,8,1,8,"[""FNAR 488""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2021-22,undergraduate_major:theater,Theater,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,estimated,23,2,23,"[""THEA 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,program.computer_engineering,Computer Engineering,academic_unit:sec,School of Engineering and Computing,True,estimated,15,1,15,"[""CPEN 498""]",terminal_course_in_required_sequence,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,program.computer_science,Computer Science,academic_unit:sec,School of Engineering and Computing,True,estimated,38,2,38,"[""CPSC 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,program.cybersecurity,Cybersecurity,academic_unit:sec,School of Engineering and Computing,True,estimated,9,1,9,"[""CYBR 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,program.electrical_engineering,Electrical Engineering,academic_unit:sec,School of Engineering and Computing,True,estimated,26,2,26,"[""EENG 498""]",terminal_course_in_required_sequence,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,program.information_science,Information Science,academic_unit:sec,School of Engineering and Computing,True,estimated,35,2,35,"[""CPSC 445""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,program.physics,Physics,academic_unit:sec,School of Engineering and Computing,True,estimated,18,2,18,"[""PHYS 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:accounting,Accounting,academic_unit:department_accounting_finance,Department of Accounting and Finance,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:american_studies,American Studies,academic_unit:office_provost,Office of the Provost,False,estimated,22,2,22,"[""AMST 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:anthropology,Anthropology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:art_history,Art History,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,True,estimated,1,1,1,"[""FNAR 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:biochemistry,Biochemistry,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2022-23,undergraduate_major:biology,Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2022-23,undergraduate_major:cellular_molecular_physiological_biology,"Cellular, Molecular and Physiological Biology",academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2022-23,undergraduate_major:chemistry,Chemistry,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,estimated,10,1,10,"[""CHEM 492""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:classical_studies,Classical Studies,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2022-23,undergraduate_major:communication,Communication,academic_unit:department_communication_studies,Department of Communication Studies,True,estimated,88,6,88,"[""COMM 452""]",required_capstone_enrollment,medium,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:computational_applied_mathematics,Computational and Applied Mathematics,academic_unit:department_mathematics,Department of Mathematics,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:criminology,Criminology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:economics,Economics,academic_unit:department_economics,Department of Economics,True,estimated,33,3,33,"[""ECON 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:english,English,academic_unit:department_english,Department of English,True,estimated,42,4,42,"[""ENGL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:environmental_studies,Environmental Studies,academic_unit:office_provost,Office of the Provost,False,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:finance,Finance,academic_unit:department_accounting_finance,Department of Accounting and Finance,True,estimated,60,3,60,"[""FINC 428""]",unique_major_specific_required_capstone,medium,"[""Uses the one required capstone unique to this major and does not add the shared degree capstone.""]"
2022-23,undergraduate_major:french,French,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:german,German,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:global_commerce_culture,Global Commerce and Culture,academic_unit:office_provost,Office of the Provost,False,not_observed,,0,,"[""IDST 480""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
