academic_year,academic_unit_id,department,governed_major_count,estimated_major_count,excluded_or_unobserved_major_count,estimated_graduates,estimate_complete_for_department,included_major_ids,excluded_or_unobserved_major_ids
2021-22,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,1,1,0,4,True,"[""undergraduate_major:art_history""]",[]
2021-22,academic_unit:department_history,Department of History,1,1,0,49,True,"[""undergraduate_major:history""]",[]
2021-22,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,1,0,1,,False,[],"[""undergraduate_major:leadership_studies""]"
2021-22,academic_unit:department_management_marketing,Department of Management and Marketing,2,1,1,66,False,"[""undergraduate_major:management""]","[""undergraduate_major:marketing""]"
2021-22,academic_unit:department_mathematics,Department of Mathematics,2,0,2,,False,[],"[""undergraduate_major:computational_applied_mathematics"", ""undergraduate_major:mathematics""]"
2021-22,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,4,0,4,,False,[],"[""undergraduate_major:classical_studies"", ""undergraduate_major:french"", ""undergraduate_major:german"", ""undergraduate_major:spanish""]"
2021-22,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",3,2,1,31,False,"[""undergraduate_major:studio_art"", ""undergraduate_major:theater""]","[""undergraduate_major:music""]"
2021-22,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,1,1,0,11,True,"[""undergraduate_major:philosophy""]",[]
2021-22,academic_unit:department_political_science,Department of Political Science,2,0,2,,False,[],"[""undergraduate_major:international_affairs"", ""undergraduate_major:political_science""]"
2021-22,academic_unit:department_psychology,Department of Psychology,1,1,0,147,True,"[""undergraduate_major:psychology""]",[]
2021-22,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",4,1,3,22,False,"[""undergraduate_major:social_work""]","[""undergraduate_major:anthropology"", ""undergraduate_major:criminology"", ""undergraduate_major:sociology""]"
2021-22,academic_unit:sec,School of Engineering and Computing,6,6,0,132,True,"[""program.computer_engineering"", ""program.computer_science"", ""program.cybersecurity"", ""program.electrical_engineering"", ""program.information_science"", ""program.physics""]",[]
2022-23,academic_unit:department_accounting_finance,Department of Accounting and Finance,2,1,1,60,False,"[""undergraduate_major:finance""]","[""undergraduate_major:accounting""]"
2022-23,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",7,1,6,10,False,"[""undergraduate_major:chemistry""]","[""undergraduate_major:biochemistry"", ""undergraduate_major:biology"", ""undergraduate_major:cellular_molecular_physiological_biology"", ""undergraduate_major:integrative_biology"", ""undergraduate_major:kinesiology"", ""undergraduate_major:organismal_environmental_biology""]"
2022-23,academic_unit:department_communication_studies,Department of Communication Studies,1,1,0,88,True,"[""undergraduate_major:communication""]",[]
2022-23,academic_unit:department_economics,Department of Economics,1,1,0,33,True,"[""undergraduate_major:economics""]",[]
2022-23,academic_unit:department_english,Department of English,1,1,0,42,True,"[""undergraduate_major:english""]",[]
2022-23,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,1,1,0,1,True,"[""undergraduate_major:art_history""]",[]
2022-23,academic_unit:department_history,Department of History,1,1,0,43,True,"[""undergraduate_major:history""]",[]
2022-23,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,1,0,1,,False,[],"[""undergraduate_major:leadership_studies""]"
2022-23,academic_unit:department_management_marketing,Department of Management and Marketing,2,1,1,70,False,"[""undergraduate_major:management""]","[""undergraduate_major:marketing""]"
2022-23,academic_unit:department_mathematics,Department of Mathematics,2,0,2,,False,[],"[""undergraduate_major:computational_applied_mathematics"", ""undergraduate_major:mathematics""]"
2022-23,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,4,0,4,,False,[],"[""undergraduate_major:classical_studies"", ""undergraduate_major:french"", ""undergraduate_major:german"", ""undergraduate_major:spanish""]"
2022-23,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",3,2,1,37,False,"[""undergraduate_major:studio_art"", ""undergraduate_major:theater""]","[""undergraduate_major:music""]"
2022-23,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,1,1,0,23,True,"[""undergraduate_major:philosophy""]",[]
2022-23,academic_unit:department_political_science,Department of Political Science,2,0,2,,False,[],"[""undergraduate_major:international_affairs"", ""undergraduate_major:political_science""]"
2022-23,academic_unit:department_psychology,Department of Psychology,1,1,0,151,True,"[""undergraduate_major:psychology""]",[]
2022-23,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",4,1,3,17,False,"[""undergraduate_major:social_work""]","[""undergraduate_major:anthropology"", ""undergraduate_major:criminology"", ""undergraduate_major:sociology""]"
2022-23,academic_unit:sec,School of Engineering and Computing,6,6,0,141,True,"[""program.computer_engineering"", ""program.computer_science"", ""program.cybersecurity"", ""program.electrical_engineering"", ""program.information_science"", ""program.physics""]",[]
2023-24,academic_unit:department_accounting_finance,Department of Accounting and Finance,2,1,1,53,False,"[""undergraduate_major:finance""]","[""undergraduate_major:accounting""]"
2023-24,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",7,1,6,7,False,"[""undergraduate_major:chemistry""]","[""undergraduate_major:biochemistry"", ""undergraduate_major:biology"", ""undergraduate_major:cellular_molecular_physiological_biology"", ""undergraduate_major:integrative_biology"", ""undergraduate_major:kinesiology"", ""undergraduate_major:organismal_environmental_biology""]"
2023-24,academic_unit:department_communication_studies,Department of Communication Studies,1,1,0,112,True,"[""undergraduate_major:communication""]",[]
2023-24,academic_unit:department_economics,Department of Economics,1,1,0,41,True,"[""undergraduate_major:economics""]",[]
2023-24,academic_unit:department_english,Department of English,1,1,0,35,True,"[""undergraduate_major:english""]",[]
2023-24,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,1,1,0,5,True,"[""undergraduate_major:art_history""]",[]
2023-24,academic_unit:department_history,Department of History,1,1,0,47,True,"[""undergraduate_major:history""]",[]
2023-24,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,1,0,1,,False,[],"[""undergraduate_major:leadership_studies""]"
2023-24,academic_unit:department_management_marketing,Department of Management and Marketing,2,1,1,41,False,"[""undergraduate_major:management""]","[""undergraduate_major:marketing""]"
2023-24,academic_unit:department_mathematics,Department of Mathematics,2,0,2,,False,[],"[""undergraduate_major:computational_applied_mathematics"", ""undergraduate_major:mathematics""]"
2023-24,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,4,0,4,,False,[],"[""undergraduate_major:classical_studies"", ""undergraduate_major:french"", ""undergraduate_major:german"", ""undergraduate_major:spanish""]"
2023-24,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",3,2,1,43,False,"[""undergraduate_major:studio_art"", ""undergraduate_major:theater""]","[""undergraduate_major:music""]"
2023-24,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,1,1,0,11,True,"[""undergraduate_major:philosophy""]",[]
2023-24,academic_unit:department_political_science,Department of Political Science,2,0,2,,False,[],"[""undergraduate_major:international_affairs"", ""undergraduate_major:political_science""]"
2023-24,academic_unit:department_psychology,Department of Psychology,1,1,0,159,True,"[""undergraduate_major:psychology""]",[]
2023-24,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",4,1,3,20,False,"[""undergraduate_major:social_work""]","[""undergraduate_major:anthropology"", ""undergraduate_major:criminology"", ""undergraduate_major:sociology""]"
2023-24,academic_unit:sec,School of Engineering and Computing,6,6,0,113,True,"[""program.computer_engineering"", ""program.computer_science"", ""program.cybersecurity"", ""program.electrical_engineering"", ""program.information_science"", ""program.physics""]",[]
2024-25,academic_unit:department_accounting_finance,Department of Accounting and Finance,2,1,1,49,False,"[""undergraduate_major:finance""]","[""undergraduate_major:accounting""]"
2024-25,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",7,1,6,8,False,"[""undergraduate_major:chemistry""]","[""undergraduate_major:biochemistry"", ""undergraduate_major:biology"", ""undergraduate_major:cellular_molecular_physiological_biology"", ""undergraduate_major:integrative_biology"", ""undergraduate_major:kinesiology"", ""undergraduate_major:organismal_environmental_biology""]"
2024-25,academic_unit:department_communication_studies,Department of Communication Studies,1,1,0,91,True,"[""undergraduate_major:communication""]",[]
2024-25,academic_unit:department_economics,Department of Economics,1,1,0,35,True,"[""undergraduate_major:economics""]",[]
2024-25,academic_unit:department_english,Department of English,1,1,0,21,True,"[""undergraduate_major:english""]",[]
2024-25,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,1,1,0,4,True,"[""undergraduate_major:art_history""]",[]
2024-25,academic_unit:department_history,Department of History,1,1,0,31,True,"[""undergraduate_major:history""]",[]
2024-25,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,1,0,1,,False,[],"[""undergraduate_major:leadership_studies""]"
2024-25,academic_unit:department_management_marketing,Department of Management and Marketing,2,1,1,47,False,"[""undergraduate_major:management""]","[""undergraduate_major:marketing""]"
2024-25,academic_unit:department_mathematics,Department of Mathematics,2,0,2,,False,[],"[""undergraduate_major:computational_applied_mathematics"", ""undergraduate_major:mathematics""]"
2024-25,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,4,0,4,,False,[],"[""undergraduate_major:classical_studies"", ""undergraduate_major:french"", ""undergraduate_major:german"", ""undergraduate_major:spanish""]"
2024-25,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",3,2,1,35,False,"[""undergraduate_major:studio_art"", ""undergraduate_major:theater""]","[""undergraduate_major:music""]"
2024-25,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,1,1,0,18,True,"[""undergraduate_major:philosophy""]",[]
2024-25,academic_unit:department_political_science,Department of Political Science,2,0,2,,False,[],"[""undergraduate_major:international_affairs"", ""undergraduate_major:political_science""]"
2024-25,academic_unit:department_psychology,Department of Psychology,1,1,0,136,True,"[""undergraduate_major:psychology""]",[]
2024-25,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",4,1,3,16,False,"[""undergraduate_major:social_work""]","[""undergraduate_major:anthropology"", ""undergraduate_major:criminology"", ""undergraduate_major:sociology""]"
2024-25,academic_unit:sec,School of Engineering and Computing,6,6,0,137,True,"[""program.computer_engineering"", ""program.computer_science"", ""program.cybersecurity"", ""program.electrical_engineering"", ""program.information_science"", ""program.physics""]",[]
2025-26,academic_unit:department_accounting_finance,Department of Accounting and Finance,2,1,1,61,False,"[""undergraduate_major:finance""]","[""undergraduate_major:accounting""]"
2025-26,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",7,1,6,9,False,"[""undergraduate_major:chemistry""]","[""undergraduate_major:biochemistry"", ""undergraduate_major:biology"", ""undergraduate_major:cellular_molecular_physiological_biology"", ""undergraduate_major:integrative_biology"", ""undergraduate_major:kinesiology"", ""undergraduate_major:organismal_environmental_biology""]"
2025-26,academic_unit:department_communication_studies,Department of Communication Studies,1,1,0,83,True,"[""undergraduate_major:communication""]",[]
2025-26,academic_unit:department_economics,Department of Economics,1,1,0,17,True,"[""undergraduate_major:economics""]",[]
2025-26,academic_unit:department_english,Department of English,1,1,0,32,True,"[""undergraduate_major:english""]",[]
2025-26,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,1,1,0,3,True,"[""undergraduate_major:art_history""]",[]
2025-26,academic_unit:department_history,Department of History,1,1,0,32,True,"[""undergraduate_major:history""]",[]
2025-26,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,1,0,1,,False,[],"[""undergraduate_major:leadership_studies""]"
2025-26,academic_unit:department_management_marketing,Department of Management and Marketing,2,1,1,67,False,"[""undergraduate_major:management""]","[""undergraduate_major:marketing""]"
2025-26,academic_unit:department_mathematics,Department of Mathematics,2,0,2,,False,[],"[""undergraduate_major:computational_applied_mathematics"", ""undergraduate_major:mathematics""]"
2025-26,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,4,0,4,,False,[],"[""undergraduate_major:classical_studies"", ""undergraduate_major:french"", ""undergraduate_major:german"", ""undergraduate_major:spanish""]"
2025-26,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",3,2,1,29,False,"[""undergraduate_major:studio_art"", ""undergraduate_major:theater""]","[""undergraduate_major:music""]"
2025-26,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,1,1,0,18,True,"[""undergraduate_major:philosophy""]",[]
2025-26,academic_unit:department_political_science,Department of Political Science,2,0,2,,False,[],"[""undergraduate_major:international_affairs"", ""undergraduate_major:political_science""]"
2025-26,academic_unit:department_psychology,Department of Psychology,1,1,0,128,True,"[""undergraduate_major:psychology""]",[]
2025-26,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",4,1,3,17,False,"[""undergraduate_major:social_work""]","[""undergraduate_major:anthropology"", ""undergraduate_major:criminology"", ""undergraduate_major:sociology""]"
2025-26,academic_unit:sec,School of Engineering and Computing,6,6,0,130,True,"[""program.computer_engineering"", ""program.computer_science"", ""program.cybersecurity"", ""program.electrical_engineering"", ""program.information_science"", ""program.physics""]",[]
2026-27,academic_unit:department_accounting_finance,Department of Accounting and Finance,2,1,1,0,False,"[""undergraduate_major:finance""]","[""undergraduate_major:accounting""]"
2026-27,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",7,1,6,0,False,"[""undergraduate_major:chemistry""]","[""undergraduate_major:biochemistry"", ""undergraduate_major:biology"", ""undergraduate_major:cellular_molecular_physiological_biology"", ""undergraduate_major:integrative_biology"", ""undergraduate_major:kinesiology"", ""undergraduate_major:organismal_environmental_biology""]"
2026-27,academic_unit:department_communication_studies,Department of Communication Studies,1,1,0,13,True,"[""undergraduate_major:communication""]",[]
2026-27,academic_unit:department_economics,Department of Economics,1,1,0,0,True,"[""undergraduate_major:economics""]",[]
2026-27,academic_unit:department_english,Department of English,1,1,0,14,True,"[""undergraduate_major:english""]",[]
2026-27,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,1,1,0,0,True,"[""undergraduate_major:art_history""]",[]
2026-27,academic_unit:department_history,Department of History,1,1,0,4,True,"[""undergraduate_major:history""]",[]
2026-27,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,1,0,1,,False,[],"[""undergraduate_major:leadership_studies""]"
2026-27,academic_unit:department_management_marketing,Department of Management and Marketing,2,1,1,21,False,"[""undergraduate_major:management""]","[""undergraduate_major:marketing""]"
2026-27,academic_unit:department_mathematics,Department of Mathematics,2,0,2,,False,[],"[""undergraduate_major:computational_applied_mathematics"", ""undergraduate_major:mathematics""]"
2026-27,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,4,0,4,,False,[],"[""undergraduate_major:classical_studies"", ""undergraduate_major:french"", ""undergraduate_major:german"", ""undergraduate_major:spanish""]"
2026-27,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",3,2,1,12,False,"[""undergraduate_major:studio_art"", ""undergraduate_major:theater""]","[""undergraduate_major:music""]"
2026-27,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,1,1,0,3,True,"[""undergraduate_major:philosophy""]",[]
2026-27,academic_unit:department_political_science,Department of Political Science,2,0,2,,False,[],"[""undergraduate_major:international_affairs"", ""undergraduate_major:political_science""]"
2026-27,academic_unit:department_psychology,Department of Psychology,1,1,0,60,True,"[""undergraduate_major:psychology""]",[]
2026-27,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",4,0,4,,False,[],"[""undergraduate_major:anthropology"", ""undergraduate_major:criminology"", ""undergraduate_major:social_work"", ""undergraduate_major:sociology""]"
2026-27,academic_unit:sec,School of Engineering and Computing,6,6,0,43,True,"[""program.computer_engineering"", ""program.computer_science"", ""program.cybersecurity"", ""program.electrical_engineering"", ""program.information_science"", ""program.physics""]",[]
