prefix,found_in_governance,found_in_catalog,found_in_schedule,category,rationale,confidence,suggested_action,review_priority
DATA,False,True,True,governance_gap,"Current catalog course descriptions support the prefix, but no governed ownership record exists.",1.0,Review governance; never promote automatically.,medium
EUPH,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
GUIT,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
ORGN,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
MECH,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
NAVS,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
BASS,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
HBRW,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
IMPR,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
HARP,False,False,True,current_schedule_only,The prefix appears in schedules but lacks current-catalog and governed support.,0.75,"Investigate historical catalogs, governance, and schedule normalization.",medium
