academic_unit_id,department_name,direction,teaching_assignment_count,section_count,distinct_instructor_count,subject_prefixes,sections_with_enrollment,sections_with_explicit_credits,sch_ready_section_count,sch_ready_section_percent,enrollment_total,student_credit_hours,enrollment_complete,sch_complete
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department_subjects_taught_by_outside_faculty,1239,1239,84,"[""BASN"", ""BASS"", ""BTMG"", ""CELL"", ""CLAR"", ""COMP"", ""COND"", ""DANC"", ""EUPH"", ""FLUT"", ""GUIT"", ""HARP"", ""HORN"", ""IMPR"", ""MUSC"", ""OBOE"", ""ORGN"", ""PERC"", ""PIAN"", ""SAXO"", ""THEA"", ""TRMB"", ""TRPT"", ""TUBA"", ""VIOL"", ""VOIC"", ""VOLA""]",1239,1239,1239,100.0,8734,14553.0,True,True
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,home_faculty_outside_department,48,48,8,"[""EVST"", ""GERM"", ""HONR"", ""IDST""]",48,48,48,100.0,719,2157.0,True,True
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,department_subjects_taught_by_outside_faculty,204,204,17,"[""PHIL"", ""RSTD""]",204,204,204,100.0,3926,11776.0,True,True
academic_unit:department_political_science,Department of Political Science,home_faculty_outside_department,16,16,5,"[""DTAN"", ""HONR"", ""IDST""]",16,16,16,100.0,239,717.0,True,True
academic_unit:department_political_science,Department of Political Science,department_subjects_taught_by_outside_faculty,134,134,16,"[""POLS""]",134,134,134,100.0,2296,6876.0,True,True
academic_unit:department_psychology,Department of Psychology,home_faculty_outside_department,102,102,8,"[""HONR"", ""NEUR"", ""SOCL""]",102,102,102,100.0,1076,2848.0,True,True
academic_unit:department_psychology,Department of Psychology,department_subjects_taught_by_outside_faculty,445,445,26,"[""CHLF"", ""PSYC""]",445,445,445,100.0,11020,30522.0,True,True
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",home_faculty_outside_department,44,44,7,"[""EVST"", ""HEAL"", ""HONR"", ""IDST"", ""PSYC""]",44,44,44,100.0,492,1472.0,True,True
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",department_subjects_taught_by_outside_faculty,292,292,46,"[""ANTH"", ""CRIM"", ""GEOG"", ""SOCL"", ""SOWK""]",292,292,292,100.0,4679,13320.0,True,True
academic_unit:sec,School of Engineering and Computing,home_faculty_outside_department,8,8,2,"[""HONR"", ""MATH""]",8,8,8,100.0,110,328.0,True,True
academic_unit:sec,School of Engineering and Computing,department_subjects_taught_by_outside_faculty,711,711,49,"[""CPEN"", ""CPSC"", ""CYBR"", ""DATA"", ""EENG"", ""ENGR"", ""MECH"", ""PCSE"", ""PHYS""]",711,711,711,100.0,14099,35156.0,True,True
