subject_prefix,teaching_assignment_count,section_count,earliest_term,latest_term,governed_owner_unit_id,governed_owner_display_name,owner_unit_type,owner_current_status,mapped_profile_unit_id,mapped_department_profile_id,mapping_result,sections_with_enrollment,sections_with_credits,sch_ready_section_count
HARP,2,2,2020_fall,2021_spring,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,2,2,2
HBRW,3,3,2020_fall,2021_fall,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department,current,academic_unit:department_modern_classical_languages_literatures,department_profile:department_modern_classical_languages_literatures:2bdc79b501e87727,mapped,3,3,3
HEAL,20,20,2025_spring,2027_spring,academic_unit:department_communication_studies,Department of Communication Studies,department,current,academic_unit:department_communication_studies,department_profile:department_communication_studies:6765b42c7ca212ed,mapped,20,20,20
HIST,728,728,2020_fall,2027_spring,academic_unit:department_history,Department of History,department,current,academic_unit:department_history,department_profile:department_history:683402f08f8c24ea,mapped,728,728,728
HONR,498,498,2020_fall,2027_spring,academic_unit:honors_program,Honors Program,academic_program,current,,,non_department_owner,498,498,498
HORN,21,21,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,21,21,21
HUMN,2,2,2021_spring,2025_spring,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department,current,academic_unit:department_modern_classical_languages_literatures,department_profile:department_modern_classical_languages_literatures:2bdc79b501e87727,mapped,2,2,2
IDST,128,128,2020_fall,2027_spring,academic_unit:office_provost,Office of the Provost,university_unit,current,,,non_department_owner,128,128,128
IMPR,3,3,2023_spring,2024_spring,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,3,3,3
ITAL,29,29,2020_fall,2026_fall,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department,current,academic_unit:department_modern_classical_languages_literatures,department_profile:department_modern_classical_languages_literatures:2bdc79b501e87727,mapped,29,29,29
LATN,76,76,2020_fall,2027_spring,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department,current,academic_unit:department_modern_classical_languages_literatures,department_profile:department_modern_classical_languages_literatures:2bdc79b501e87727,mapped,76,76,76
LDSP,607,607,2020_fall,2027_spring,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,department,current,academic_unit:department_leadership_american_studies,department_profile:department_leadership_american_studies:cdb0732b247458ae,mapped,607,607,607
MATH,882,882,2020_fall,2027_spring,academic_unit:department_mathematics,Department of Mathematics,department,current,academic_unit:department_mathematics,department_profile:department_mathematics:c2b4cba1e01b5495,mapped,882,882,882
MBCH,1,1,2023_spring,2023_spring,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",department,current,academic_unit:department_biology_chemistry_environmental_science,department_profile:department_biology_chemistry_environmental_science:6f64ad6108973301,mapped,1,1,1
MECH,5,5,2026_fall,2027_spring,academic_unit:sec,School of Engineering and Computing,dependent_school,current,academic_unit:sec,department_profile:sec:3a5a92d0042b9a57,mapped,5,5,5
MGMT,123,123,2020_fall,2027_spring,academic_unit:department_management_marketing,Department of Management and Marketing,department,current,academic_unit:department_management_marketing,department_profile:department_management_marketing:b693fc111b09f85f,mapped,123,123,123
MKTG,114,114,2020_fall,2027_spring,academic_unit:department_management_marketing,Department of Management and Marketing,department,current,academic_unit:department_management_marketing,department_profile:department_management_marketing:b693fc111b09f85f,mapped,114,114,114
MLAN,76,76,2020_fall,2027_spring,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department,current,academic_unit:department_modern_classical_languages_literatures,department_profile:department_modern_classical_languages_literatures:2bdc79b501e87727,mapped,76,76,76
MLSC,147,147,2020_fall,2027_spring,academic_unit:department_military_science,Military Science,department,current,academic_unit:department_military_science,department_profile:department_military_science:4ddd91d4c2412212,mapped,147,147,147
MUSC,819,819,2020_fall,2027_spring,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,819,819,819
NAVS,5,5,2025_fall,2026_spring,academic_unit:department_military_science,Military Science,department,current,academic_unit:department_military_science,department_profile:department_military_science:4ddd91d4c2412212,mapped,5,5,5
NEUR,202,202,2020_fall,2027_spring,academic_unit:neuroscience_program,Neuroscience Program,interdisciplinary_program,current,,,non_department_owner,202,202,202
NSCI,11,11,2021_spring,2026_summer_1,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",department,current,academic_unit:department_biology_chemistry_environmental_science,department_profile:department_biology_chemistry_environmental_science:6f64ad6108973301,mapped,11,11,11
OBOE,14,14,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,14,14,14
ORGN,6,6,2020_fall,2023_spring,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,6,6,6
PCSE,62,62,2020_fall,2027_spring,academic_unit:sec,School of Engineering and Computing,dependent_school,current,academic_unit:sec,department_profile:sec:3a5a92d0042b9a57,mapped,62,62,62
PERC,33,33,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,33,33,33
PHIL,428,428,2020_fall,2027_spring,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,department,current,academic_unit:department_philosophy_religion,department_profile:department_philosophy_religion:8d4a20d802d50211,mapped,428,428,428
PHYS,477,477,2020_fall,2027_spring,academic_unit:sec,School of Engineering and Computing,dependent_school,current,academic_unit:sec,department_profile:sec:3a5a92d0042b9a57,mapped,477,477,477
PIAN,62,62,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,62,62,62
PMED,52,52,2020_fall,2026_fall,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",department,current,academic_unit:department_biology_chemistry_environmental_science,department_profile:department_biology_chemistry_environmental_science:6f64ad6108973301,mapped,52,52,52
POLS,472,472,2020_fall,2026_fall,academic_unit:department_political_science,Department of Political Science,department,current,academic_unit:department_political_science,department_profile:department_political_science:e75d73de38b96c54,mapped,472,472,472
PSYC,946,946,2020_fall,2026_fall,academic_unit:department_psychology,Department of Psychology,department,current,academic_unit:department_psychology,department_profile:department_psychology:cad055d6dd5722d5,mapped,946,946,946
RSTD,252,252,2020_fall,2026_fall,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,department,current,academic_unit:department_philosophy_religion,department_profile:department_philosophy_religion:8d4a20d802d50211,mapped,252,252,252
SAXO,65,65,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,65,65,65
SOCL,418,418,2020_fall,2026_fall,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",department,current,academic_unit:department_sociology_social_work_anthropology,department_profile:department_sociology_social_work_anthropology:6dda6869c020bc4d,mapped,418,418,418
SOWK,124,124,2020_fall,2026_fall,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",department,current,academic_unit:department_sociology_social_work_anthropology,department_profile:department_sociology_social_work_anthropology:6dda6869c020bc4d,mapped,124,124,124
SPAN,475,475,2020_fall,2026_fall,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department,current,academic_unit:department_modern_classical_languages_literatures,department_profile:department_modern_classical_languages_literatures:2bdc79b501e87727,mapped,475,475,475
TCHG,215,215,2020_fall,2026_fall,academic_unit:graduate_program_teacher_preparation,Teacher Preparation Graduate Program,academic_program,current,,,non_department_owner,215,215,215
THEA,388,388,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,388,388,388
TRMB,26,26,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,26,26,26
TRPT,43,43,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,43,43,43
TUBA,15,15,2023_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,15,15,15
URCA,10,10,2024_fall,2026_fall,academic_unit:office_research_creative_activity,Office of Research and Creative Activity,university_unit,current,,,non_department_owner,10,10,10
VIOL,20,20,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,20,20,20
VOIC,111,111,2020_fall,2026_fall,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,111,111,111
VOLA,19,19,2020_fall,2024_spring,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department,current,academic_unit:department_music_theatre_dance,department_profile:department_music_theatre_dance:10336aa27031c101,mapped,19,19,19
