academic_unit_id,department_name,direction,teaching_assignment_count,section_count,distinct_instructor_count,subject_prefixes,sections_with_enrollment,sections_with_explicit_credits,sch_ready_section_count,sch_ready_section_percent,enrollment_total,student_credit_hours,enrollment_complete,sch_complete
academic_unit:department_mathematics,Department of Mathematics,home_faculty_outside_department,730,730,15,"[""HONR"", ""MATH"", ""TCHG""]",730,730,730,100.0,15131,46116.0,True,True
academic_unit:department_mathematics,Department of Mathematics,department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:department_military_science,Military Science,home_faculty_outside_department,20,20,1,"[""MLSC""]",20,20,20,100.0,157,268.0,True,True
academic_unit:department_military_science,Military Science,department_subjects_taught_by_outside_faculty,5,5,1,"[""NAVS""]",5,5,5,100.0,5,8.0,True,True
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,home_faculty_outside_department,580,580,15,"[""ARAB"", ""CHIN"", ""FREN"", ""GERM"", ""HONR"", ""HUMN"", ""IDST"", ""ITAL"", ""MLAN"", ""SPAN"", ""TCHG""]",580,580,580,100.0,8093,24264.0,True,True
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,department_subjects_taught_by_outside_faculty,3,3,1,"[""HBRW""]",3,3,3,100.0,9,27.0,True,True
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",home_faculty_outside_department,652,652,16,"[""DANC"", ""HONR"", ""IDST"", ""MUSC"", ""TCHG"", ""THEA""]",652,652,652,100.0,9035,14878.0,True,True
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",department_subjects_taught_by_outside_faculty,517,517,39,"[""BASN"", ""BASS"", ""BTMG"", ""CELL"", ""CLAR"", ""COMP"", ""COND"", ""EUPH"", ""FLUT"", ""GUIT"", ""HARP"", ""HORN"", ""IMPR"", ""OBOE"", ""ORGN"", ""PERC"", ""PIAN"", ""SAXO"", ""TRMB"", ""TRPT"", ""TUBA"", ""VIOL"", ""VOIC"", ""VOLA""]",517,517,517,100.0,790,793.0,True,True
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,home_faculty_outside_department,524,524,12,"[""EVST"", ""GERM"", ""HONR"", ""IDST"", ""PHIL"", ""RSTD""]",524,524,524,100.0,9357,28009.0,True,True
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:department_political_science,Department of Political Science,home_faculty_outside_department,354,354,11,"[""DTAN"", ""HONR"", ""IDST"", ""POLS""]",354,354,354,100.0,7268,21778.0,True,True
academic_unit:department_political_science,Department of Political Science,department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:department_psychology,Department of Psychology,home_faculty_outside_department,607,607,15,"[""HONR"", ""NEUR"", ""PSYC"", ""SOCL""]",607,607,607,100.0,13652,36550.0,True,True
academic_unit:department_psychology,Department of Psychology,department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",home_faculty_outside_department,655,655,15,"[""ANTH"", ""CRIM"", ""EVST"", ""GEOG"", ""HEAL"", ""HONR"", ""IDST"", ""PSYC"", ""SOCL"", ""SOWK""]",655,655,655,100.0,11175,33209.0,True,True
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",department_subjects_taught_by_outside_faculty,0,0,0,[],0,0,0,0.0,,,False,False
academic_unit:sec,School of Engineering and Computing,home_faculty_outside_department,78,78,9,"[""DATA"", ""ENGR"", ""HONR"", ""MATH""]",78,78,78,100.0,1568,4116.0,True,True
academic_unit:sec,School of Engineering and Computing,department_subjects_taught_by_outside_faculty,672,672,49,"[""CPEN"", ""CPSC"", ""CYBR"", ""EENG"", ""MECH"", ""PCSE"", ""PHYS""]",672,672,672,100.0,13319,33014.0,True,True
