CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,Status,Low Cost Textbook,Capacity,Enrolled,Instructor Type,Term
8046,HONR 020,2,Second Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,2,OPEN,,49,47,Full Time,Spring Semester 2022
8859,BIOL 108,1,General Biology II,3,"AINW, GE, NSCI, SCIE",Lec,TR,1800-1915,Forbes Hall 1022,David Waldien,0,CLOSED,,95,95,Adjunct,Spring Semester 2023
9042,HONR 020,2,Second Year Activities,0,HON,Fie,,-,To Be Arranged ,Jay Paul,5,OPEN,,49,44,Full Time,Fall Semester 2025
8385,SOWK 301L,1,Prac I Lab and Jr Field Inst,2,,Lab,TR,0930-1215,Joseph W. Luter III Hall 170,Jill Russett,12,OPEN,,29,17,Adjunct,Fall Semester 2021
3034,CHEM 104,1,Introductory Chemistry II,3,"AINW, GE, NSCI, OR, SCIE, XNAT",Lec,MTWRF,1330-1600,Forbes Hall 2070D,Lisa Webb,45,OPEN,,48,3,Full Time,Summer Term 1 2022
8381,MKTG 460,2,Integrated Marketing Communic,3,,Lec,TR,1800-1915,Joseph W. Luter III Hall 264,Dae-Hee Kim,5,OPEN,,15,10,Full Time,Fall Semester 2023
8971,FNAR 205,2,Digital Photography,3,AICE,Stu,TR,1400-1620,Torggler Fine Arts Center 219,Kristin Kiser,0,CLOSED,,14,14,Full Time,Spring Semester 2022
8192,THEA 210,1,The Dramatic Impulse,3,"AICE, HUMN, LETR, XTHE",Lec,TR,1330-1445,Ferguson Center for the Arts 221,Ryan Bible,0,CLOSED,,26,26,Full Time,Spring Semester 2023
8848,CYBR 498,1,WI: Cyber Security Capstone,3,"LOW, WI",Lec,TR,1330-1445,Joseph W. Luter III Hall 258,Michael Lapke,11,OPEN,YES,19,8,Full Time,Spring Semester 2024
4006,LDSP 320,S06,Leadership Through the Ages,3,LDSP,Lec,,-,To Be Arranged ,William Mims,8,OPEN,,18,10,,Extended Summer 2024
8937,PHIL 205,2,The Anatomy of Thought,3,"AIIF, LETR, LLFR, XPRS",Lec,MWF,1200-1250,Joseph W. Luter III Hall 121,Eric Silverman,8,OPEN,,39,31,Full Time,Spring Semester 2021
9277,LDSP 464,2,LDSP in Complex Contexts,3,LDSP,Ind,,-,To Be Arranged ,Nathan Harter,-2,CLOSED,,0,2,Full Time,Spring Semester 2025
9372,TCHG 550,S03,Teaching Across Cultures,3,,Lec,,-,To Be Arranged ,Judy Pantelides,-5,CLOSED,,0,5,Adjunct,Spring Semester 2023
8331,HONR 020,1,Second Year Activities,0,"HON, LOW",Fie,,-,To Be Arranged ,Jay Paul,1,OPEN,YES,49,48,Full Time,Spring Semester 2024
8809,RSTD 212,4C,Religions of the West,3,"AIWT, GE, HUMN, LETR, XPRS",Lec,MW,1600-1715,Lewis McMurran Hall 262,Steve Strehle,1,OPEN,,19,18,Full Time,Fall Semester 2023
8682,MUSC 310,1,Aural Skills IV,1,LETR,Lab,TR,1330-1445,Ferguson Center for the Arts 210,Carol Cook,5,OPEN,,19,14,Adjunct,Spring Semester 2025
8049,BIOL 211,1,Principles of Biology I,3,,Lec,MWF,0800-0850,Forbes Hall 1022,Jessica Burket,-1,CLOSED,,48,49,Full Time,Spring Semester 2026
9047,BIOL 113,1M,Topics in Medicine and Health,3,"AINW, XNAT",Lec,MW,1800-1915,Lewis McMurran Hall 101,Kaitlyn Tudor,3,OPEN,,95,92,Adjunct,Fall Semester 2025
8555,FNAR 117,ON1,3D Design,3,,Lab,MW,1030-1250,Synchronous Online Course ,Greg Henry,3,OPEN,,15,12,Full Time,Spring Semester 2021
8479,HIST 339,1,Hist of Propaganda: Film Study,3,"EURO, FILM, LOW",Lec,W,1800-2100,Lewis McMurran Hall 101,A.R. Santoro,3,OPEN,YES,19,16,Full Time,Spring Semester 2025
8877,RSTD 212,3,Religions of the West,3,"AIWT, GE, HUMN, LETR, XPRS",Lec,MWF,1200-1250,Lewis McMurran Hall 207,Hussam Timani,0,CLOSED,,24,24,Full Time,Fall Semester 2024
8011,ACCT 401,1,Introduction to Taxation,3,,Lec,TR,0930-1045,Forbes Hall 2014,Mary Scott,-5,CLOSED,,25,30,Full Time,Spring Semester 2026
9225,THEA 311,ON1,Theater History II,3,,Lec,MWF,1500-1550,Synchronous Online Course ,Grace Godwin,3,OPEN,,26,23,Full Time,Spring Semester 2021
8724,LATN 200,3R,Latin and Its Living Legacy,3,"GE, LETR, LLF, LLFL, PROF",Lec,MWF,1300-1350,Lewis McMurran Hall 362,Jana Adamitis,2,OPEN,,24,22,Full Time,Fall Semester 2021
8900,PSYC 207,2,Lifespan Development,3,AIII,Lec,TR,1500-1615,Forbes Hall 2074,Earl Riggins,12,OPEN,,45,33,Adjunct,Spring Semester 2026
