CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,Low Cost Textbook,
"2049","CPSC 110","ON1","Introduction to Computing","3","  LLFR","Lec","","","ASY ","Davis, Kimberly","0","Closed","15","15","","","","","",
"2050","CPSC 150","ON1","Introduction to Programming","3","  LLFR","Lec","","","ASY ","Almalag, Mohammad","4","Open","8","12","","","","","",
"2051","CPSC 150L","ON1","Intro to Programming Lab","1","","Lab","","","ASY ","Almalag, Mohammad","5","Open","7","12","","","","","",
"2052","CPSC 215","ON1","Software Pkgs-Busn Applcations","3","","Lec","","","ASY ","Davis, Kimberly","0","Closed","15","15","","","","","",
"2074","CRIM 335","ON1","Race, Inequality, and Crime","3","","Lec","","","ASY ","Askew, LaQuana","-1","Closed","11","10","","","","","",
"2003","ECON 200","ON1","The Economic Way of Thinking","3","  LLFE","Lec","","","ASY ","Chakraborti, Rik","2","Open","24","26","","","","","Yes",
"2004","ECON 201","ON1","Principles of Macroeconomics","3","  LLFE","Lec","","","ASY ","Pradhan, Gyanendra","0","Closed","19","19","","","","","",
"2055","ENGL 123","ON2","First-Year Writing Seminar","3","  LLFW","Lec","","","ASY ","Carney, Jason","2","Open","17","19","","","","","Yes",
"2056","ENGL 123","ON3","First-Year Writing Seminar","3","  LLFW","Lec","","","ASY ","Emmelhainz, Nicole","13","Open","6","19","","","","","Yes",
"2057","ENGL 223","ON1","Second-Year Writing Seminar","3","  LLFW","Lec","","","ASY ","Stewart, Nathan","-1","Closed","20","19","","","","","Yes",
"2058","ENGL 223","ON2","Second-Year Writing Seminar","3","  LLFW","Lec","MTWRF","0900-1215","SYN ","Bunch, Imogene","13","Open","6","19","","","","","Yes",
"2060","ENGL 304","ON1","WI: Creativity and Conflict","3","  AICE  WI","Lec","MTWRF","0900-1215","SYN ","Hopkins, Patricia","13","Open","6","19","","","","","Yes",
"2063","ENGL 353","ON2","WI: Writing for the Profession","3","  WI","Lec","","","ASY ","Cobos, April","1","Open","18","19","","","","","Yes",
"2006","FNAR 121","1","Drawing I","3","  AICE","Stu","MTWRF","1300-1615","TFAC 318","Harris, Christi","9","Open","8","17","","","","","Yes",
"2007","FNAR 128","1","Introduction to Digital Media","3","  AICE","Stu","MTWRF","0900-1215","TFAC 228","Skees, Alan","11","Open","5","16","","","","","Yes",
"2008","FNAR 205","ON1","Digital Photography","3","  AICE","Stu","MTWRF","0900-1215","HYB ","Skees, Kristin","8","Open","8","16","","","","","Yes",
"2053","HIST 122","ON1","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","","","ASY ","Allison, James","1","Open","14","15","","","","","",
"2065","IDST 210","ON1","Childhood Study: Hist, Lit, Ed","3","","Lec","","","ASY ","Shortsleeve, Kevin","8","Open","17","25","","","","","Yes",
"2071","LDSP 320","ON1","Leadership Through the Ages","3","","Lec","","","ASY ","Lapke, Shalyn","0","Closed","12","12","","","","","",
"2066","LDSP 395","ON1","SPC TP:Intellectual Ldsp Rouss","3","","Lec","MTWRF","0900-1215","SYN ","Cusher, Brent","7","Open","5","12","","","","","Yes",
"2023","MATH 125","1","Elementary Statistics","3","  LLFM","Lec","MTWRF","0900-1215","FORBES 2014","Kelly, James","5","Open","10","15","","","","","Yes",
"2024","MATH 135","1","Calculus for Busn/Social Sci","3","  LLFM","Lec","MTWRF","0900-1215","FORBES 2070A","Morena, Matthew","11","Open","4","15","","","","","",
"2014","MUSC 205","ON1","Film Music","3","  AICE","Lec","","","ASY ","Rossum, Kelly","5","Open","19","24","","","","","",
"2064","NEUR 316","ON1","Brain and Cognition","3","","Lec","MTWRF","0900-1215","SYN ","Lipatova, Olga","15","Open","2","17","","","","","",
"2076","NEUR 499","1","IND ST: Schreckstoff &amp; Zebra","2","","Ind","","","ARR ","Velkey, Andrew","-1","Closed","1","0","","","","","",
"2015","PHIL 207","ON1","Ethical Issues in Business","3","  LLFR","Lec","","","ASY ","Balay, Joey","0","Closed","18","18","","","","","Yes",
"2067","PHIL 326","ON1","WI: Philosophy in the Movies","3","  WI","Lec","","","ASY ","Silverman, Eric","2","Open","16","18","","","","","Yes",
"2043","POLS 101","ON1","Power and Politics in America","3","  AIDE","Lec","MTWRF","0900-1215","SYN ","Camobreco, John","2","Open","17","19","","","","","",
"2035","PSYC 201","ON1","Inv Biol Bases of Beh &amp; Cogn","3","  AINW","Lec","MTWRF","1300-1615","SYN ","Gibbons, Jeffrey","9","Open","8","17","","","","","",
"2036","PSYC 202","ON1","Inv Socl Contxt of Beh &amp; Cogn","3","","Lec","MTWRF","0900-1215","SYN ","Niehaus, Jeffrey","11","Open","6","17","","","","","",
"2037","PSYC 300","1","Statistical Appl-Soc Sci Rsrch","3","","Lec","MTWRF","0900-1215","FORBES 2090","Dow, Gayle","30","Open","4","34","","","","","",
"2038","PSYC 312","ON1","Educational Psychology","3","","Lec","MTWRF","1300-1615","SYN ","Dow, Gayle","7","Open","10","17","","","","","",
"2039","PSYC 316","ON1","Brain and Cognition","3","","Lec","MTWRF","0900-1215","SYN ","Lipatova, Olga","15","Open","7","22","","","","","",
"2040","PSYC 408","ON1","Psychopharmacology","3","","Lec","MTWRF","0900-1215","SYN ","Lange, Michelle","10","Open","7","17","","","","","",
"2041","PSYC 408L","ON1","Psychopharmacology Lab","1","","Lab","MTWRF","1300-1615","SYN ","Lange, Michelle","10","Open","7","17","","","","","",
"2042","PSYC 490","1","WI: Senior Seminar in Psych","3","  WI","Lec","MTWRF","1300-1615","FORBES 2014","Hart, Jason","8","Open","9","17","","","","","",
"2017","RSTD 212","ON1","Religions of the West","3","  AIWT","Lec","","","ASY ","Timani, Hussam","1","Open","17","18","","","","","",
"2044","SOCL 201","ON1","Global Social Problems","3","  AIGM","Lec","","","ASY ","Garcia Sarduy, Yulia","-1","Closed","13","12","","","","","",
"2045","SOCL 314","ON1","Education, Culture and Society","3","","Lec","","","ASY ","Waldron, Linda","-1","Closed","13","12","","","","","Yes",
"2075","SOCL 335","1","Race, Inequality, and Crime","3","","Lec","","","ARR ","Askew, LaQuana","3","Open","2","5","","","","","",
"2046","SOCL 340","ON1","Statistics for Social Research","3","","Lec","","","ASY ","Harris, Jaime","8","Open","4","12","","","","","",
"2010","SPAN 200","ON1","Eff Comm in Spanish","3","  LLFL","Lec","MTWRF","0900-1215","HYB ","Valdez, Elena","6","Open","13","19","","","","","",
"2011","SPAN 200","ON2","Eff Comm in Spanish","3","  LLFL","Lec","MTWRF","0900-1215","HYB ","Poosson, Sylvain","6","Open","13","19","","","","","",
