academic_unit_id,department_name,faculty,academic_year,sch,sections,enrollment,distinct_instructors,sch_per_faculty
academic_unit:department_communication_studies,Department of Communication Studies,13,2026-27,1720.0,69,578,11,132.307692
academic_unit:department_economics,Department of Economics,9,2020-21,3027.0,36,1011,7,336.333333
academic_unit:department_economics,Department of Economics,9,2021-22,3090.0,38,1030,7,343.333333
academic_unit:department_economics,Department of Economics,9,2022-23,3447.0,38,1149,7,383.0
academic_unit:department_economics,Department of Economics,9,2023-24,4343.0,51,1449,8,482.555556
academic_unit:department_economics,Department of Economics,9,2024-25,4011.0,46,1337,8,445.666667
academic_unit:department_economics,Department of Economics,9,2025-26,4102.0,55,1368,9,455.777778
academic_unit:department_economics,Department of Economics,9,2026-27,2022.0,46,674,8,224.666667
academic_unit:department_english,Department of English,21,2020-21,6141.0,162,3374,18,292.428571
academic_unit:department_english,Department of English,21,2021-22,5652.0,151,3057,19,269.142857
academic_unit:department_english,Department of English,21,2022-23,6057.0,161,3171,19,288.428571
academic_unit:department_english,Department of English,21,2023-24,5929.0,152,3042,18,282.333333
academic_unit:department_english,Department of English,21,2024-25,6550.0,166,3185,20,311.904762
academic_unit:department_english,Department of English,21,2025-26,6585.0,166,3207,21,313.571429
academic_unit:department_english,Department of English,21,2026-27,3448.0,155,1559,20,164.190476
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2020-21,1794.0,33,600,5,256.285714
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2021-22,2009.0,39,671,6,287.0
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2022-23,1748.0,38,598,6,249.714286
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2023-24,2151.0,41,719,6,307.285714
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2024-25,1961.0,45,667,6,280.142857
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2025-26,2280.0,45,766,6,325.714286
academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,7,2026-27,1261.0,36,421,6,180.142857
academic_unit:department_history,Department of History,16,2020-21,3174.0,59,1054,10,198.375
academic_unit:department_history,Department of History,16,2021-22,3576.0,75,1189,11,223.5
academic_unit:department_history,Department of History,16,2022-23,2962.0,68,987,11,185.125
academic_unit:department_history,Department of History,16,2023-24,3092.0,65,1029,11,193.25
academic_unit:department_history,Department of History,16,2024-25,3054.0,58,1020,10,190.875
academic_unit:department_history,Department of History,16,2025-26,2810.0,60,934,10,175.625
academic_unit:department_history,Department of History,16,2026-27,1308.0,56,436,10,81.75
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2020-21,3720.0,60,1242,9,286.153846
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2021-22,3303.0,53,1123,8,254.076923
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2022-23,4118.0,70,1376,10,316.769231
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2023-24,3791.0,61,1265,10,291.615385
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2024-25,3050.0,53,1030,8,234.615385
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2025-26,3769.0,64,1259,10,289.923077
academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,13,2026-27,2178.0,60,726,10,167.538462
academic_unit:department_management_marketing,Department of Management and Marketing,9,2020-21,2593.0,39,867,6,288.111111
academic_unit:department_management_marketing,Department of Management and Marketing,9,2021-22,2367.0,43,801,6,263.0
academic_unit:department_management_marketing,Department of Management and Marketing,9,2022-23,1810.0,36,616,6,201.111111
academic_unit:department_management_marketing,Department of Management and Marketing,9,2023-24,2240.0,47,764,7,248.888889
academic_unit:department_management_marketing,Department of Management and Marketing,9,2024-25,3558.0,53,1208,7,395.333333
academic_unit:department_management_marketing,Department of Management and Marketing,9,2025-26,3653.0,53,1245,7,405.888889
academic_unit:department_management_marketing,Department of Management and Marketing,9,2026-27,2098.0,45,700,7,233.111111
academic_unit:department_mathematics,Department of Mathematics,16,2020-21,6061.0,101,1950,14,378.8125
academic_unit:department_mathematics,Department of Mathematics,16,2021-22,5792.0,105,1903,15,362.0
academic_unit:department_mathematics,Department of Mathematics,16,2022-23,7203.0,112,2354,15,450.1875
academic_unit:department_mathematics,Department of Mathematics,16,2023-24,7976.0,111,2592,15,498.5
academic_unit:department_mathematics,Department of Mathematics,16,2024-25,7669.0,105,2514,15,479.3125
academic_unit:department_mathematics,Department of Mathematics,16,2025-26,7391.0,104,2468,14,461.9375
academic_unit:department_mathematics,Department of Mathematics,16,2026-27,4024.0,92,1350,13,251.5
academic_unit:department_military_science,Military Science,4,2020-21,0,0,0,0,0.0
academic_unit:department_military_science,Military Science,4,2021-22,0,0,0,0,0.0
academic_unit:department_military_science,Military Science,4,2022-23,0,0,0,0,0.0
academic_unit:department_military_science,Military Science,4,2023-24,0,0,0,0,0.0
academic_unit:department_military_science,Military Science,4,2024-25,47.0,4,20,1,11.75
academic_unit:department_military_science,Military Science,4,2025-26,137.0,14,98,2,34.25
academic_unit:department_military_science,Military Science,4,2026-27,92.0,7,44,1,23.0
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2020-21,3261.0,80,1089,12,203.8125
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2021-22,3221.0,82,1071,13,201.3125
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2022-23,3495.0,85,1165,13,218.4375
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2023-24,3793.0,87,1264,14,237.0625
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2024-25,3955.0,88,1319,14,247.1875
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2025-26,4226.0,92,1414,15,264.125
academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,16,2026-27,2340.0,69,780,15,146.25
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2020-21,2510.0,211,1459,33,114.090909
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2021-22,2362.0,222,1451,33,107.363636
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2022-23,2638.0,209,1747,37,119.909091
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2023-24,2472.0,206,1683,30,112.363636
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2024-25,2460.0,203,1536,28,111.818182
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2025-26,2311.0,185,1513,31,105.045455
academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",22,2026-27,1368.0,113,747,29,62.181818
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2020-21,4488.0,81,1498,11,345.230769
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2021-22,3673.0,69,1227,11,282.538462
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2022-23,3548.0,72,1186,11,272.923077
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2023-24,4559.0,81,1525,12,350.692308
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2024-25,4148.0,76,1388,11,319.076923
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2025-26,4706.0,78,1570,12,362.0
academic_unit:department_philosophy_religion,Department of Philosophy and Religion,13,2026-27,2887.0,67,963,12,222.076923
academic_unit:department_political_science,Department of Political Science,11,2020-21,3497.0,53,1173,9,317.909091
academic_unit:department_political_science,Department of Political Science,11,2021-22,3411.0,55,1137,10,310.090909
academic_unit:department_political_science,Department of Political Science,11,2022-23,2946.0,50,982,10,267.818182
academic_unit:department_political_science,Department of Political Science,11,2023-24,3084.0,53,1028,10,280.363636
academic_unit:department_political_science,Department of Political Science,11,2024-25,3175.0,55,1059,10,288.636364
academic_unit:department_political_science,Department of Political Science,11,2025-26,3649.0,57,1217,10,331.727273
academic_unit:department_political_science,Department of Political Science,11,2026-27,2016.0,31,672,9,183.272727
academic_unit:department_psychology,Department of Psychology,19,2020-21,4939.0,73,1803,10,259.947368
academic_unit:department_psychology,Department of Psychology,19,2021-22,5075.0,83,1879,10,267.105263
academic_unit:department_psychology,Department of Psychology,19,2022-23,5615.0,95,2163,12,295.526316
academic_unit:department_psychology,Department of Psychology,19,2023-24,5342.0,90,2018,12,281.157895
academic_unit:department_psychology,Department of Psychology,19,2024-25,5942.0,93,2192,13,312.736842
academic_unit:department_psychology,Department of Psychology,19,2025-26,5995.0,115,2259,15,315.526316
academic_unit:department_psychology,Department of Psychology,19,2026-27,3642.0,58,1338,15,191.684211
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2020-21,4565.0,88,1500,12,268.529412
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2021-22,4706.0,99,1563,12,276.823529
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2022-23,4064.0,85,1369,12,239.058824
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2023-24,4232.0,80,1436,14,248.941176
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2024-25,5760.0,107,1954,14,338.823529
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2025-26,6500.0,116,2222,15,382.352941
academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",17,2026-27,3382.0,80,1131,14,198.941176
academic_unit:sec,School of Engineering and Computing,27,2020-21,14173.0,259,5728,40,524.925926
academic_unit:sec,School of Engineering and Computing,27,2021-22,13388.0,266,5497,43,495.851852
academic_unit:sec,School of Engineering and Computing,27,2022-23,14208.0,270,5814,44,526.222222
academic_unit:sec,School of Engineering and Computing,27,2023-24,12766.0,249,5227,41,472.814815
academic_unit:sec,School of Engineering and Computing,27,2024-25,13238.0,238,5365,40,490.296296
academic_unit:sec,School of Engineering and Computing,27,2025-26,14023.0,250,5676,40,519.37037
academic_unit:sec,School of Engineering and Computing,27,2026-27,6223.0,232,2497,35,230.481481
